"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
158,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",41,"Darou Miname Ii",158,"Ndioum Ngainthe","",1242010,"12420102","Commune","Commune"
159,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",42,"Sagna",159,"Dianke Souf","",1242020,"12420201","Commune","Commune"
160,201,"SEN","Senegal",5,"Kaffrine",17,"Malème Hodar",42,"Sagna",160,"Sagna","",1242020,"12420202","Commune","Commune"
161,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",161,"Khelcom Birame","",632010,"6320104","Commune","Commune"
162,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",162,"Mbadakhoune","",632010,"6320101","Commune","Commune"
163,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",163,"Ndiago","",632010,"6320102","Commune","Commune"
164,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",43,"Mbadakhoune",164,"Ngathie Naoude","",632010,"6320103","Commune","Commune"
165,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",165,"Dara Mboss","",632020,"6320204","Commune","Commune"
166,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",166,"Gagnick","",632020,"6320201","Commune","Commune"
167,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",167,"Nguelou","",632020,"6320202","Commune","Commune"
168,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",168,"Ourour","",632020,"6320203","Commune","Commune"
169,201,"SEN","Senegal",6,"Kaolack",18,"Guinguinéo",44,"Nguelou",169,"Panal Wolof","",632020,"6320205","Commune","Commune"
170,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal",170,"Keur Baka","",612020,"6120203","Commune","Commune"
